3M Co.;MMM;conglomerates
AES Corp. The;AES;electric utilities
Alaska Air Group Inc.;ALK;regional airlines
American Airlines Group Inc.;AAL;major airlines
American Electric Power Co. Inc.;AEP;electric utilities
American Express Co.;AXP;credit services
American Water Works Company Inc.;AWK;water utilities
Apple Inc.;AAPL;consumer goods
Avis Budget Group Inc.;CAR;rental & leasing services
Boeing Co. The;BA;aerospace & defense
Caterpillar Inc.;CAT;farm & construction equipment
CenterPoint Energy Inc.;CNP;diversified utilities
C.H. Robinson Worldwide Inc.;CHRW;air delivery & freight services
Chevron Corp.;CVX;major integrated oil & gas
Cisco Systems Inc.;CSCO;computer networking
The Coca-Cola Company;KO;beverages
Consolidated Edison Inc.;ED;diversified utilities
CSX Corp.;CSX;railroads
Delta Air Lines Inc.;DAL;major airlines
Dominion Energy;D;electric utilities
Dow Inc.;DOW;chemicals
Duke Energy Corp.;DUK;electric utilities
Edison International;EIX;electric utilities
Exelon Corp.;EXC;diversified utilities
Expeditors International;EXPD;air delivery & freight services
Exxon Mobil Corp.;XOM;major integrated oil & gas
FedEx Corporation;FDX;air delivery & freight services
FirstEnergy Corp.;FE;electric utilities
The Goldman Sachs Group Inc.;GS;investment brokerage
Home Depot Inc.;HD;home improvement stores
Intel Corp.;INTC;semiconductors
International Business Machines Corp.;IBM;diversified computer systems
JB Hunt Transport Services Inc.;JBHT;trucking
JetBlue Airways Corp.;JBLU;regional airlines
JPMorgan Chase and Co.;JPM;money center banks
Johnson & Johnson Inc.;JNJ;drug manufacturers
Kansas City Southern;KSU;railroads
Kirby Corporation;KEX;shipping
Landstar System Inc.;LSTR;trucking
Matson Inc.;MATX;shipping
McDonald's Corp.;MCD;restaurants
Merck & Co. Inc.;MRK;drug manufacturers
Microsoft Corp.;MSFT;application software
NextEra Energy Inc.;NEE;electric utilities
Nike Inc.;NKE;apparel footwear & accessories
NiSource Inc.;NI;diversified utilities
Norfolk Southern Corp.;NSC;railroads
Pfizer Inc.;PFE;drug manufacturers
Procter & Gamble Co.;PG;cleaning products
Public Service Enterprise Group Inc.;PEG;diversified utilities
Raytheon Technologies;RTX;aerospace & defense
Ryder System Inc.;R;rental & leasing services
Sempra Energy;SRE;Multi-Utilities
The Southern Company;SO;electric utilities
Southwest Airlines Inc.;LUV;regional airlines
The Travelers Companies;TRV;insurance
Union Pacific Corporation;UNP;railroads
United Airlines Holdings;UAL;major airlines
United Parcel Service Inc.;UPS;air delivery & freight services
UnitedHealth Group Inc.;UNH;health care plans
Verizon Communications;VZ;telecom services
Visa Inc.;V;credit services
Walgreens Boots Alliance;WBA;retailing
Walmart Inc.;WMT;discount variety stores
The Walt Disney Company;DIS;entertainment
