Company name	Symbol	Weighting[nb 1]
Newmont Mining Corp	NYSE: NEM	16.45%
Barrick Gold Corp	NYSE: ABX	13.83%
Agnico Eagle Mines Ltd	NYSE: AEM	3.86%
Randgold Resources Ltd	NYSE: GOLD	3.80%
Kinross Gold Corp	NYSE: KGC	3.77%
AngloGold Ashanti Ltd	NYSE: AU	4.08%
Gold Fields Ltd	NYSE: GFI	3.95%
Compania de Minas Buenaventura SAA	NYSE: BVN	4.73%
Sibanye Gold Ltd	NYSE: SBGL	3.37%
IAMGOLD Corp	NYSE: IAG	3.75%
Kirkland Lake Gold Ltd	NYSE: KL	4.66%
Yamana Gold Inc	NYSE: AUY	4.16%
New Gold Inc	AMEX: NGD	3.28%
Alamos Gold Inc	NYSE: AGI	3.62%
Osisko Gold Royalties Ltd	NYSE: OR	3.68%
Hecla Mining Co	NYSE: HL	4.14%
Eldorado Gold Corp	NYSE: EGO	3.49%
Goldcorp Inc	NYSE: GG	11.36%
