Symbol	Company
AXP	American Express Company
BA	The Boeing Company
CVX	Chevron Corporation
DD	E. I. du Pont de Nemours and Company
DIS	The Walt Disney Company
DOW	The Dow Chemical Company
GE	General Electric Company
HPQ	Hewlett-Packard Company
IBM	International Business Machines Corporation
JNJ	Johnson & Johnson
JPM	JPMorgan Chase & Co.
KO	The Coca-Cola Company
MCD	McDonald's Corp.
MMM	3M Company
MRK	Merck & Co. Inc.
MSFT	Microsoft Corporation
PG	The Procter & Gamble Company
WFC	Wells Fargo & Company
WMT	Wal-Mart Stores Inc.
XOM	Exxon Mobil Corporation
