Company	Sector	Ticker
Accor	Consumer Cyclical	AC.PA
Air Liquide	Basic Materials	AI.PA
Airbus	Industrials	AIR.PA
ArcelorMittal	Basic Materials	MT.AS
Atos	Technology	ATO.PA
AXA	Financial Services	CS.PA
BNP Paribas	Financial Services	BNP.PA
Bouygues	Industrials	EN.PA
Capgemini	Technology	CAP.PA
Carrefour	Consumer Defensive	CA.PA
Crédit Agricole	Financial Services	ACA.PA
Danone	Consumer Defensive	BN.PA
Dassault Systèmes	Technology	DSY.PA
Engie	Utilities	ENGI.PA
Essilor	Healthcare	EL.PA
Hermès	Consumer Cyclical	RMS.PA
Kering	Consumer Cyclical	KER.PA
L'Oréal	Consumer Defensive	OR.PA
Legrand	Industrials	LR.PA
LVMH	Consumer Cyclical	MC.PA
Michelin	Industrials	ML.PA
Orange	Communication Services	ORA.PA
Pernod Ricard	Consumer Defensive	RI.PA
PSA	Consumer Cyclical	UG.PA
Publicis	Communication Services	PUB.PA
Renault	Consumer Cyclical	RNO.PA
Safran	Industrials	SAF.PA
Saint-Gobain	Industrials	SGO.PA
Sanofi	Healthcare	SAN.PA
Schneider Electric	Industrials	SU.PA
Société Générale	Financial Services	GLE.PA
Sodexo	Industrials	SW.PA
STMicroelectronics	Technology	STM.PA
Thales	Industrials	HO.PA
Total	Energy	FP.PA
Unibail-Rodamco-Westfield	Real Estate	URW.AS
Veolia	Industrials	VIE.PA
Vinci	Industrials	DG.PA
Vivendi	Communication Services	VIV.PA
Worldline	Technology	WLN.PA
