paire	val	info
Bitcoin_EUR	BTC-EUR	Bitcoin EUR
Ethereum_EUR	ETH-EUR	Ethereum EUR
Tether_EUR	USDT-EUR	Tether EUR
XRP_EUR	XRP-EUR	XRP EUR
Bitcoin_Cash EUR	BCH-EUR	Bitcoin Cash EUR
Binance_Coin EUR	BNB-EUR	Binance Coin EUR
Chainlink_EUR	LINK-EUR	Chainlink EUR
Litecoin_EUR	LTC-EUR	Litecoin EUR
Cardano_EUR	ADA-EUR	Cardano EUR
EOS_EUR	EOS-EUR	EOS EUR
Monero_EUR	XMR-EUR	Monero EUR
TRON_EUR	TRX-EUR	TRON EUR
Stellar_EUR	XLM-EUR	Stellar EUR
Neo_EUR	NEO-EUR	Neo EUR
NEM_EUR	XEM-EUR	NEM EUR
VeChain_EUR	VET-EUR	VeChain EUR
IOTA_EUR	MIOTA-EUR	IOTA EUR
Zcash_EUR	ZEC-EUR	Zcash EUR
Dash_EUR	DASH-EUR	Dash EUR
Ethereum_Classic_EUR	ETC-EUR	Ethereum Classic EUR
OMG_Network_EUR	OMG-EUR	OMG Network EUR
DigiByte_EUR	DGB-EUR	DigiByte EUR
Dogecoin_EUR	DOGE-EUR	Dogecoin EUR
